z,ice_eq_z
292.8,259.8603115
293,260.0603087
293.2,260.260306
293.4,260.4603032
293.6,260.6603005
293.8,260.8602978
294,261.0602951
294.2,261.2602925
294.4,261.4602898
294.6,261.6602872
294.8,261.8602847
295,262.0602821
295.2,262.2602796
295.4,262.4602771
295.6,262.6602746
295.8,262.8602721
296,263.0602697
296.2,263.2602673
296.4,263.4602649
296.6,263.6602625
296.8,263.8602602
297,264.0602579
297.2,264.2602555
297.4,264.4602533
297.6,264.660251
297.8,264.8602488
298,265.0602466
298.2,265.2602444
298.4,265.4602422
298.6,265.66024
298.8,265.8602379
299,266.0602358
299.2,266.2602337
299.4,266.4602316
299.6,266.6602295
299.8,266.8602275
300,267.0602255
300.2,267.2602235
300.4,267.4602215
300.6,267.6602195
300.8,267.8602176
301,268.0602157
301.2,268.2602138
301.4,268.4602119
301.6,268.66021
301.8,268.8602082
302,269.0602063
302.2,269.2602045
302.4,269.4602027
302.6,269.6602009
302.8,269.8601991
303,270.0601974
303.2,270.2601956
303.4,270.4601939
303.6,270.6601922
303.8,270.8601905
304,271.0601889
304.2,271.2601872
304.4,271.4601856
304.6,271.6601839
304.8,271.8601823
305,272.0601807
305.2,272.2601792
305.4,272.4601776
305.6,272.660176
305.8,272.8601745
306,273.060173
306.2,273.2601715
306.4,273.46017
306.6,273.6601685
306.8,273.860167
307,274.0601656
307.2,274.2601641
307.4,274.4601627
307.6,274.6601613
307.8,274.8601599
308,275.0601585
308.2,275.2601571
308.4,275.4601558
308.6,275.6601544
308.8,275.8601531
309,276.0601518
309.2,276.2601505
309.4,276.4601492
309.6,276.6601479
309.8,276.8601466
310,277.0601454
