z,ice_eq_z
37.2,19.86687113
37.4,19.99861976
37.6,20.13054071
37.8,20.26263395
38,20.39489943
38.2,20.52733713
38.4,20.65994702
38.6,20.79272906
38.8,20.92568322
39,21.05880947
39.2,21.19210778
39.4,21.32557811
39.6,21.45922043
39.8,21.59303473
40,21.72702097
40.2,21.86117911
40.4,21.99550912
40.6,22.13001097
40.8,22.26468463
41,22.39953007
41.2,22.53454726
41.4,22.66973618
41.6,22.80509678
41.8,22.94062904
42,23.07633292
42.2,23.21220839
42.4,23.34825543
42.6,23.484474
42.8,23.62086408
43,23.75742563
43.2,23.89415862
43.4,24.03106302
43.6,24.16813879
43.8,24.3053859
44,24.44280433
44.2,24.58039403
44.4,24.71815498
44.6,24.85608712
44.8,24.99419043
45,25.13246488
45.2,25.27091041
45.4,25.40952701
45.6,25.54831463
45.8,25.68727324
46,25.82640279
46.2,25.96570325
46.4,26.10517458
46.6,26.24481674
46.8,26.38462967
47,26.52461336
47.2,26.66476775
47.4,26.80509281
47.6,26.94558849
47.8,27.08625476
48,27.22709159
48.2,27.36809892
48.4,27.50927671
48.6,27.65062491
48.8,27.7921435
49,27.93383241
49.2,28.0756916
49.4,28.21772104
49.6,28.35992066
49.8,28.50229041
50,28.64483026
50.2,28.78754015
50.4,28.93042004
50.6,29.07346988
50.8,29.21668962
51,29.3600792
51.2,29.50363858
51.4,29.64736771
51.6,29.79126654
51.8,29.93533501
52,30.07957307
52.2,30.22398069
52.4,30.3685578
52.6,30.51330434
52.8,30.65822026
53,30.8033055
53.2,30.94856
53.4,31.09398371
53.6,31.23957657
53.8,31.38533851
54,31.53126948
54.2,31.67736941
54.4,31.82363825
54.6,31.97007595
54.8,32.11668244
55,32.26345767
55.2,32.41040155
55.4,32.55751406
55.6,32.70479512
55.8,32.85224466
56,32.99986263
56.2,33.14764897
56.4,33.2956036
56.6,33.44372646
56.8,33.59201749
57,33.74047663
57.2,33.88910379
57.4,34.0378989
57.6,34.18686191
57.8,34.33599272
58,34.48529127
58.2,34.6347575
58.4,34.78439134
58.6,34.93419271
58.8,35.08416156
59,35.23429781
59.2,35.38460139
59.4,35.53507223
59.6,35.68571025
59.8,35.83651539
60,35.98748756
60.2,36.13862667
60.4,36.28993266
60.6,36.44140545
60.8,36.59304496
61,36.7448511
61.2,36.8968238
61.4,37.04896297
61.6,37.20126854
61.8,37.35374043
62,37.50637856
62.2,37.65918286
62.4,37.81215323
62.6,37.96528958
62.8,38.11859185
63,38.27205994
63.2,38.42569377
63.4,38.57949327
63.6,38.73345836
63.8,38.88758894
64,39.04188493
64.2,39.19634625
64.4,39.35097282
64.6,39.50576454
64.8,39.66072133
65,39.81584311
65.2,39.97112977
65.4,40.1265812
65.6,40.28219735
65.8,40.4379781
66,40.59392337
66.2,40.75003305
66.4,40.90630706
