ages,depths_real
526,32.51802224
527,32.56817878
528,32.61831043
529,32.66839888
530,32.71848733
531,32.76857579
532,32.81863894
533,32.86865952
534,32.91868009
535,32.96870066
536,33.01869591
537,33.06864882
538,33.11860172
539,33.16855463
540,33.21848254
541,33.26836799
542,33.31825344
543,33.36813889
544,33.41800004
545,33.46781824
546,33.51763644
547,33.56745464
548,33.61724959
549,33.66700073
550,33.71675188
551,33.76650303
552,33.81623234
553,33.86591664
554,33.91560094
555,33.96528524
556,34.01494946
557,34.06456711
558,34.11418476
559,34.16380242
560,34.2134021
561,34.26295331
562,34.31250451
563,34.36205572
564,34.4115914
565,34.46107636
566,34.51056131
567,34.56004627
568,34.6095185
569,34.65893739
570,34.70835629
571,34.75777519
572,34.8071845
573,34.85653753
574,34.90589056
575,34.9552436
576,35.00459052
577,35.05387788
578,35.10316525
579,35.15245261
580,35.20173767
581,35.25095956
582,35.30018145
583,35.34940334
584,35.39862523
585,35.44778365
586,35.49694026
587,35.54609686
588,35.59525347
589,35.64435126
590,35.69344277
591,35.74253428
592,35.79162579
593,35.84066345
594,35.88969005
595,35.93871664
596,35.98774324
597,36.03672129
598,36.08568316
599,36.13464503
600,36.1836069
601,36.23252583
602,36.28142316
603,36.33032048
604,36.37921781
605,36.42807813
606,36.4769111
607,36.52574407
608,36.57457704
609,36.62337925
610,36.67214805
611,36.72091685
612,36.76968565
613,36.81843023
614,36.86713503
615,36.91583983
616,36.96454464
617,37.01323208
618,37.06187307
619,37.11051406
620,37.15915505
621,37.20778584
622,37.2563632
623,37.30494055
624,37.35351791
625,37.40209253
626,37.45060643
627,37.49912033
628,37.54763423
629,37.59614813
630,37.64460378
631,37.69305441
632,37.74150503
633,37.78995566
634,37.83835627
635,37.8867438
636,37.93513133
637,37.98351886
638,38.0318649
639,38.08018951
640,38.12851411
641,38.17683872
642,38.22513066
643,38.27339252
644,38.32165438
645,38.36991624
646,38.41815453
647,38.46635382
648,38.51455311
649,38.5627524
650,38.61093751
651,38.65907441
652,38.7072113
653,38.75534819
654,38.80348058
655,38.85155524
656,38.89962991
657,38.94770457
658,38.99577924
659,39.0437973
660,39.09180991
661,39.13982252
662,39.18783514
663,39.23580155
664,39.28375228
665,39.33170301
666,39.37965374
667,39.42756895
668,39.47545797
669,39.52334699
670,39.57123601
671,39.61910045
672,39.66692792
673,39.7147554
674,39.76258287
675,39.81039699
676,39.85816309
677,39.90592919
678,39.95369529
679,40.00145952
680,40.04916441
681,40.09686931
682,40.14457421
683,40.1922791
684,40.23993284
685,40.2875767
686,40.33522055
687,40.38286441
688,40.43046929
689,40.47805228
690,40.52563527
691,40.57321825
692,40.6207747
693,40.66829699
694,40.71581928
695,40.76334156
696,40.81085001
697,40.85831175
698,40.9057735
699,40.95323525
700,41.00069611
701,41.04809748
702,41.09549885
703,41.14290021
704,41.19030158
705,41.23765506
706,41.28499622
707,41.33233738
708,41.37967854
709,41.42698543
710,41.47426655
711,41.52154766
712,41.56882878
713,41.61608949
714,41.66331072
715,41.71053195
716,41.75775318
717,41.80496811
718,41.85212962
719,41.89929113
720,41.94645264
721,41.99361415
722,42.04072417
723,42.08782612
724,42.13492808
725,42.18203003
726,42.22909524
727,42.2761378
728,42.32318035
729,42.3702229
730,42.41724372
731,42.46422703
732,42.51121034
733,42.55819366
734,42.60517046
735,42.65209469
736,42.69901893
737,42.74594316
738,42.7928674
739,42.83974167
740,42.88660698
741,42.9334723
742,42.98033762
743,43.02716882
744,43.07397538
745,43.12078193
746,43.16758848
747,43.21437701
748,43.26112496
749,43.30787291
750,43.35462086
751,43.4013671
752,43.44805661
753,43.49474612
754,43.54143562
755,43.58812513
756,43.63477117
757,43.68140239
758,43.7280336
759,43.77466482
760,43.82126949
761,43.86784257
762,43.91441566
763,43.96098874
764,44.00755241
765,44.05406752
766,44.10058263
767,44.14709774
768,44.19361285
769,44.24007808
770,44.28653537
771,44.33299265
772,44.37944994
773,44.42587508
774,44.4722747
775,44.51867433
776,44.56507396
777,44.61145936
778,44.65780148
779,44.7041436
780,44.75048572
781,44.79682783
782,44.84311652
783,44.88940129
784,44.93568605
785,44.98197082
786,45.02822066
787,45.07444823
788,45.12067579
789,45.16690335
790,45.21311471
791,45.25928523
792,45.30545575
793,45.35162627
794,45.39779678
795,45.44391312
796,45.49002674
797,45.53614037
798,45.58225399
799,45.62833271
800,45.67438959
801,45.72044647
802,45.76650335
803,45.8125448
804,45.85854509
805,45.90454538
806,45.95054567
807,45.99654596
808,46.04249405
809,46.08843791
810,46.13438176
811,46.18032562
812,46.22623729
813,46.27212486
814,46.31801242
815,46.36389999
816,46.40977559
817,46.45560702
818,46.50143845
819,46.54726988
820,46.59310132
821,46.63888519
822,46.68466064
823,46.73043609
824,46.77621154
825,46.82196017
826,46.86767978
827,46.9133994
828,46.95911901
829,47.00483273
830,47.05049666
831,47.09616058
832,47.14182451
833,47.18748844
834,47.23311205
835,47.27872044
836,47.32432883
837,47.36993722
838,47.41552673
839,47.46107973
840,47.50663273
841,47.55218573
842,47.59773874
843,47.64323924
844,47.68873699
845,47.73423475
846,47.77973251
847,47.82519971
848,47.87064237
849,47.91608503
850,47.9615277
851,48.00696193
852,48.05234964
853,48.09773735
854,48.14312506
855,48.18851277
856,48.23385955
857,48.27919246
858,48.32452537
859,48.36985828
860,48.41517288
861,48.46045113
862,48.50572938
863,48.55100764
864,48.59628589
865,48.6415141
866,48.68673785
867,48.73196159
868,48.77718533
869,48.82238214
870,48.86755152
871,48.9127209
872,48.95789027
873,49.00305598
874,49.04817114
875,49.0932863
876,49.13840145
877,49.18351661
878,49.22859745
879,49.27365853
880,49.31871961
881,49.36378069
882,49.40883119
883,49.45383834
884,49.4988455
885,49.54385265
886,49.5888598
887,49.63382649
888,49.67877985
889,49.72373322
890,49.76868659
891,49.81362369
892,49.85852341
893,49.90342314
894,49.94832286
895,49.99322259
896,50.03807689
897,50.08292311
898,50.12776933
899,50.17261556
900,50.21744101
901,50.26223388
902,50.30702675
903,50.35181962
904,50.39661248
905,50.44135616
906,50.48609581
907,50.53083547
908,50.57557512
909,50.62029067
910,50.66497725
911,50.70966383
912,50.7543504
913,50.79903698
914,50.84367177
915,50.88830541
916,50.93293906
917,50.9775727
918,51.02218009
919,51.06676094
920,51.1113418
921,51.15592265
922,51.20050291
923,51.24503112
924,51.28955932
925,51.33408752
926,51.37861573
927,51.42311664
928,51.46759233
929,51.51206802
930,51.55654372
931,51.60101821
932,51.64544153
933,51.68986485
934,51.73428817
935,51.7787115
936,51.82310762
937,51.86747871
938,51.9118498
939,51.95622089
940,52.00059128
941,52.04491028
942,52.08922927
943,52.13354826
944,52.17786725
945,52.22216024
946,52.26642727
947,52.3106943
948,52.35496134
949,52.39922837
950,52.4434445
951,52.48765971
952,52.53187493
953,52.57609015
954,52.62028163
955,52.66444517
956,52.70860871
957,52.75277225
958,52.79693579
959,52.84105137
960,52.88516337
961,52.92927537
962,52.97338737
963,53.01747898
964,53.06153957
965,53.10560017
966,53.14966077
967,53.19372136
968,53.237738
969,53.28174733
970,53.32575666
971,53.36976599
972,53.41375931
973,53.45771752
974,53.50167572
975,53.54563392
976,53.58959212
977,53.6335114
978,53.67741861
979,53.72132582
980,53.76523303
981,53.80912965
982,53.852986
983,53.89684235
984,53.94069871
985,53.98455506
986,54.02837855
987,54.07218419
988,54.11598982
989,54.15979545
990,54.20359692
991,54.24735197
992,54.29110702
993,54.33486207
994,54.37861711
995,54.42234636
996,54.46605096
997,54.50975555
998,54.55346014
999,54.59716473
1000,54.64082227
1001,54.68447655
1002,54.72813082
1003,54.77178509
1004,54.81542162
1005,54.85902571
1006,54.9026298
1007,54.94623389
1008,54.98983798
1009,55.03340368
1010,55.07695772
1011,55.12051176
1012,55.1640658
1013,55.20761111
1014,55.25111523
1015,55.29461935
1016,55.33812347
1017,55.38162759
1018,55.42510295
1019,55.46855728
1020,55.51201161
1021,55.55546594
1022,55.59892027
1023,55.64232618
1024,55.68573086
1025,55.72913554
1026,55.77254022
1027,55.8159267
1028,55.85928186
1029,55.90263701
1030,55.94599217
1031,55.98934732
1032,56.03266522
1033,56.07597098
1034,56.11927674
1035,56.16258251
1036,56.20588157
1037,56.24913808
1038,56.29239458
1039,56.33565109
1040,56.37890759
1041,56.42213892
1042,56.4653463
1043,56.50855367
1044,56.55176105
1045,56.59496842
1046,56.6381325
1047,56.68129088
1048,56.72444925
1049,56.76760763
1050,56.81075381
1051,56.85386332
1052,56.89697282
1053,56.94008233
1054,56.98319184
1055,57.02627161
1056,57.06933238
1057,57.11239315
1058,57.15545392
1059,57.19851469
1060,57.24152853
1061,57.28454069
1062,57.32755286
1063,57.37056502
1064,57.41356188
1065,57.45652557
1066,57.49948926
1067,57.54245295
1068,57.58541664
1069,57.62834839
1070,57.67126374
1071,57.71417908
1072,57.75709442
1073,57.80000976
1074,57.84287688
1075,57.88574401
1076,57.92861114
1077,57.97147826
1078,58.0143293
1079,58.05714833
1080,58.09996737
1081,58.14278641
1082,58.18560544
1083,58.22839264
1084,58.27116372
1085,58.31393479
1086,58.35670586
1087,58.39947694
1088,58.44220076
1089,58.484924
1090,58.52764724
1091,58.57037048
1092,58.6130791
1093,58.65575463
1094,58.69843016
1095,58.74110569
1096,58.78378122
1097,58.82642725
1098,58.8690552
1099,58.91168314
1100,58.95431109
1101,58.99693904
1102,59.03952293
1103,59.08210342
1104,59.12468391
1105,59.1672644
1106,59.20983395
1107,59.2523671
1108,59.29490026
1109,59.33743342
1110,59.37996658
1111,59.42247477
1112,59.46496072
1113,59.50744667
1114,59.54993262
1115,59.59241858
1116,59.63486585
1117,59.67730472
1118,59.71974359
1119,59.76218247
1120,59.80461623
1121,59.84700815
1122,59.88940006
1123,59.93179198
1124,59.9741839
1125,60.01655751
1126,60.05890261
1127,60.1012477
1128,60.1435928
1129,60.18593789
1130,60.22825179
1131,60.27055018
1132,60.31284857
1133,60.35514697
1134,60.39744536
1135,60.43969999
1136,60.4819518
1137,60.52420361
1138,60.56645543
1139,60.60869767
1140,60.65090303
1141,60.69310839
1142,60.73531375
1143,60.77751911
1144,60.81970282
1145,60.86186185
1146,60.90402088
1147,60.94617992
1148,60.98833895
1149,61.03046456
1150,61.07257738
1151,61.11469021
1152,61.15680304
1153,61.19891586
1154,61.2409838
1155,61.28305054
1156,61.32511729
1157,61.36718403
1158,61.40924067
1159,61.45126146
1160,61.49328225
1161,61.53530304
1162,61.57732382
1163,61.61932351
1164,61.66129846
1165,61.70327341
1166,61.74524836
1167,61.78722331
1168,61.82916646
1169,61.87109569
1170,61.91302493
1171,61.95495416
1172,61.99688339
1173,62.03877042
1174,62.08065406
1175,62.1225377
1176,62.16442134
1177,62.20629813
1178,62.2481363
1179,62.28997447
1180,62.33181263
1181,62.3736508
1182,62.41547218
1183,62.457265
1184,62.49905782
1185,62.54085064
1186,62.58264346
1187,62.62440984
1188,62.66615743
1189,62.70790502
1190,62.74965261
1191,62.7914002
1192,62.83311197
1193,62.87481445
1194,62.91651693
1195,62.95821941
1196,62.99992189
1197,63.04157947
1198,63.08323696
1199,63.12489445
1200,63.16655194
1201,63.20820059
1202,63.24981321
1203,63.29142582
1204,63.33303844
1205,63.37465106
1206,63.41624619
1207,63.45781405
1208,63.49938192
1209,63.54094978
1210,63.58251764
1211,63.62405965
1212,63.66558288
1213,63.70710611
1214,63.74862935
1215,63.79015258
1216,63.83164186
1217,63.87312058
1218,63.9145993
1219,63.95607802
1220,63.99755674
1221,64.03899367
1222,64.080428
1223,64.12186232
1224,64.16329664
1225,64.2047259
1226,64.24611594
1227,64.28750599
1228,64.32889603
1229,64.37028607
1230,64.41166365
1231,64.45300953
1232,64.49435541
1233,64.53570129
1234,64.57704717
1235,64.61837345
1236,64.65967529
1237,64.70097713
1238,64.74227896
1239,64.7835808
1240,64.82485617
1241,64.86611408
1242,64.90737198
1243,64.94862989
1244,64.9898878
1245,65.03111264
1246,65.07232674
1247,65.11354084
1248,65.15475494
1249,65.19596904
1250,65.23714373
1251,65.27831415
1252,65.31948456
1253,65.36065497
1254,65.40182346
1255,65.44295029
1256,65.48407713
1257,65.52520397
1258,65.56633081
1259,65.60744977
1260,65.64853315
1261,65.68961653
1262,65.73069991
1263,65.77178329
1264,65.81285309
1265,65.85389314
1266,65.89493318
1267,65.93597322
1268,65.97701326
1269,66.01803429
1270,66.05903111
1271,66.10002792
1272,66.14102474
1273,66.18202156
1274,66.22299417
1275,66.26394787
1276,66.30490158
1277,66.34585528
1278,66.38680899
1279,66.42773355
1280,66.46864426
1281,66.50955496
1282,66.55046567
1283,66.59137638
1284,66.63225325
1285,66.67312108
1286,66.71398891
1287,66.75485674
1288,66.79572456
1289,66.8365541
1290,66.87737916
1291,66.91820422
1292,66.95902928
1293,66.99985434
1294,67.04063689
1295,67.0814193
1296,67.1222017
1297,67.16298411
1298,67.20376259
1299,67.24450245
1300,67.28524232
1301,67.32598219
1302,67.36672206
1303,67.40745415
1304,67.44815159
1305,67.48884903
1306,67.52954647
1307,67.57024392
1308,67.61092998
1309,67.6515851
1310,67.69224023
1311,67.73289535
1312,67.77355047
1313,67.81419085
1314,67.85480377
1315,67.8954167
1316,67.93602962
1317,67.97664254
1318,68.01723758
1319,68.05780841
1320,68.09837925
1321,68.13895008
1322,68.17952092
1323,68.22007096
1324,68.26059982
1325,68.30112867
1326,68.34165753
1327,68.38218639
1328,68.42269178
1329,68.46317877
1330,68.50366576
1331,68.54415275
1332,68.58463974
1333,68.62510082
1334,68.66554606
1335,68.70599129
1336,68.74643653
1337,68.78688176
1338,68.82729887
1339,68.86770246
1340,68.90810606
1341,68.94850965
1342,68.98891325
1343,69.02928671
1344,69.06964877
1345,69.11001083
1346,69.1503729
1347,69.19073496
1348,69.23106511
1349,69.27138576
1350,69.3117064
1351,69.35202704
1352,69.39234769
1353,69.43263486
1354,69.47291419
1355,69.51319352
1356,69.55347285
1357,69.59375218
1358,69.6339967
1359,69.67423483
1360,69.71447296
1361,69.75471109
1362,69.79494922
1363,69.83515141
1364,69.87534845
1365,69.91554549
1366,69.95574252
1367,69.99593956
1368,70.03609976
1369,70.07625582
1370,70.11641187
1371,70.15656793
1372,70.19672399
1373,70.23684251
1374,70.27695769
1375,70.31707288
1376,70.35718807
1377,70.39730326
1378,70.43738042
1379,70.47745485
1380,70.51752927
1381,70.5576037
1382,70.59767812
1383,70.63771424
1384,70.67774801
1385,70.71778178
1386,70.75781554
1387,70.79784931
1388,70.83784471
1389,70.87783792
1390,70.91783114
1391,70.95782436
1392,70.99781758
1393,71.03777256
1394,71.07772534
1395,71.11767812
1396,71.1576309
1397,71.19758369
