ages,depths_real
907,44.29546
908,44.33776
909,44.38006
910,44.42236
911,44.46466
912,44.50696
913,44.54926
914,44.59156
915,44.63386
916,44.67616
917,44.71826
918,44.75956
919,44.80086
920,44.84216
921,44.88346
922,44.92476
923,44.96606
924,45.00736
925,45.04866
926,45.08996
927,45.13116
928,45.17196
929,45.21276
930,45.25356
931,45.29436
932,45.33516
933,45.37596
934,45.41676
935,45.45756
936,45.49836
937,45.53918
938,45.58008
939,45.62098
940,45.66188
941,45.70278
942,45.74368
943,45.78458
944,45.82548
945,45.86638
946,45.90728
947,45.9479
948,45.9874
949,46.0269
950,46.0664
951,46.1059
952,46.1454
953,46.1849
954,46.2244
955,46.2639
956,46.3034
957,46.34272
958,46.38132
959,46.41992
960,46.45852
961,46.49712
962,46.53572
963,46.57432
964,46.61292
965,46.65152
966,46.69012
967,46.72862
968,46.76672
969,46.80482
970,46.84292
971,46.88102
972,46.91912
973,46.95722
974,46.99532
975,47.03342
976,47.07152
977,47.10964
978,47.14784
979,47.18604
980,47.22424
981,47.26244
982,47.30064
983,47.33884
984,47.37704
985,47.41524
986,47.45344
987,47.49156
988,47.52936
989,47.56716
990,47.60496
991,47.64276
992,47.68056
993,47.71836
994,47.75616
995,47.79396
996,47.83176
997,47.86954
998,47.90724
999,47.94494
1000,47.98264
1001,48.02034
1002,48.05804
1003,48.09574
1004,48.13344
1005,48.17114
1006,48.20884
1007,48.24646
1008,48.28376
1009,48.32106
1010,48.35836
1011,48.39566
1012,48.43296
1013,48.47026
1014,48.50756
1015,48.54486
1016,48.58216
1017,48.61962
1018,48.65772
1019,48.69582
1020,48.73392
1021,48.77202
1022,48.81012
1023,48.84822
1024,48.88632
1025,48.92442
1026,48.96252
1027,49.00112
1028,49.04172
1029,49.08232
1030,49.12292
1031,49.16352
1032,49.20412
1033,49.24472
1034,49.28532
1035,49.32592
1036,49.36652
1037,49.4076
1038,49.4506
1039,49.4936
1040,49.5366
1041,49.5796
1042,49.6226
1043,49.6656
1044,49.7086
1045,49.7516
1046,49.7946
1047,49.83646
